Year,Statistic Label,Counties & Dublin Postal Districts,Sector,UNIT,VALUE
2021,Metered Electricity Consumption,Dublin 6,20 Non-residential,Gigawatt Hours,57
2021,Metered Electricity Consumption,Dublin 6W,All sectors,Gigawatt Hours,59
2021,Metered Electricity Consumption,Dublin 6W,10 Residential,Gigawatt Hours,42
2021,Metered Electricity Consumption,Dublin 6W,20 Non-residential,Gigawatt Hours,17
2021,Metered Electricity Consumption,Dublin 7,All sectors,Gigawatt Hours,222
2021,Metered Electricity Consumption,Dublin 7,10 Residential,Gigawatt Hours,93
2021,Metered Electricity Consumption,Dublin 7,20 Non-residential,Gigawatt Hours,129
2021,Metered Electricity Consumption,Dublin 8,All sectors,Gigawatt Hours,264
2021,Metered Electricity Consumption,Dublin 8,10 Residential,Gigawatt Hours,101
2021,Metered Electricity Consumption,Dublin 8,20 Non-residential,Gigawatt Hours,163
2021,Metered Electricity Consumption,Dublin 9,All sectors,Gigawatt Hours,190
2021,Metered Electricity Consumption,Dublin 9,10 Residential,Gigawatt Hours,83
2022,Metered Electricity Consumption,Dublin 9,20 Non-residential,Gigawatt Hours,107
2022,Metered Electricity Consumption,Dublin 10,All sectors,Gigawatt Hours,82
2022,Metered Electricity Consumption,Dublin 10,10 Residential,Gigawatt Hours,28
2022,Metered Electricity Consumption,Dublin 10,20 Non-residential,Gigawatt Hours,53
2022,Metered Electricity Consumption,Dublin 11,All sectors,Gigawatt Hours,207
2022,Metered Electricity Consumption,Dublin 11,10 Residential,Gigawatt Hours,87
2022,Metered Electricity Consumption,Dublin 11,20 Non-residential,Gigawatt Hours,121
2022,Metered Electricity Consumption,Dublin 12,All sectors,Gigawatt Hours,299
2022,Metered Electricity Consumption,Dublin 12,10 Residential,Gigawatt Hours,80
2022,Metered Electricity Consumption,Dublin 12,20 Non-residential,Gigawatt Hours,219
2022,Metered Electricity Consumption,Dublin 13,All sectors,Gigawatt Hours,128
2022,Metered Electricity Consumption,Dublin 13,10 Residential,Gigawatt Hours,82
2022,Metered Electricity Consumption,Dublin 13,20 Non-residential,Gigawatt Hours,46
2022,Metered Electricity Consumption,Dublin 14,All sectors,Gigawatt Hours,139
2022,Metered Electricity Consumption,Dublin 14,10 Residential,Gigawatt Hours,77
2022,Metered Electricity Consumption,Dublin 14,20 Non-residential,Gigawatt Hours,62
2022,Metered Electricity Consumption,Dublin 15,All sectors,Gigawatt Hours,523
2022,Metered Electricity Consumption,Dublin 15,10 Residential,Gigawatt Hours,158
2022,Metered Electricity Consumption,Dublin 15,20 Non-residential,Gigawatt Hours,365
2022,Metered Electricity Consumption,Dublin 16,All sectors,Gigawatt Hours,137
2022,Metered Electricity Consumption,Dublin 16,10 Residential,Gigawatt Hours,79
2022,Metered Electricity Consumption,Dublin 16,20 Non-residential,Gigawatt Hours,58
2022,Metered Electricity Consumption,Dublin 17,All sectors,Gigawatt Hours,186
2022,Metered Electricity Consumption,Dublin 17,10 Residential,Gigawatt Hours,32
2022,Metered Electricity Consumption,Dublin 17,20 Non-residential,Gigawatt Hours,154
2022,Metered Electricity Consumption,Dublin 18,All sectors,Gigawatt Hours,231
2022,Metered Electricity Consumption,Dublin 18,10 Residential,Gigawatt Hours,92
2022,Metered Electricity Consumption,Dublin 18,20 Non-residential,Gigawatt Hours,139
2022,Metered Electricity Consumption,Dublin 20,All sectors,Gigawatt Hours,34
2022,Metered Electricity Consumption,Dublin 20,10 Residential,Gigawatt Hours,20
2022,Metered Electricity Consumption,Dublin 20,20 Non-residential,Gigawatt Hours,14
2022,Metered Electricity Consumption,Dublin 22,All sectors,Gigawatt Hours,287
2022,Metered Electricity Consumption,Dublin 22,10 Residential,Gigawatt Hours,71
2022,Metered Electricity Consumption,Dublin 22,20 Non-residential,Gigawatt Hours,216
2022,Metered Electricity Consumption,Dublin 24,All sectors,Gigawatt Hours,493
2022,Metered Electricity Consumption,Dublin 24,10 Residential,Gigawatt Hours,153
2022,Metered Electricity Consumption,Dublin 24,20 Non-residential,Gigawatt Hours,340
2022,Metered Electricity Consumption,Co. Dublin,All sectors,Gigawatt Hours,1187
2022,Metered Electricity Consumption,Co. Dublin,10 Residential,Gigawatt Hours,487
2022,Metered Electricity Consumption,Co. Dublin,20 Non-residential,Gigawatt Hours,699
2022,Metered Electricity Consumption,Co. Galway,All sectors,Gigawatt Hours,1134
2022,Metered Electricity Consumption,Co. Galway,10 Residential,Gigawatt Hours,478
2022,Metered Electricity Consumption,Co. Galway,20 Non-residential,Gigawatt Hours,656
2022,Metered Electricity Consumption,Co. Kildare,All sectors,Gigawatt Hours,933
2022,Metered Electricity Consumption,Co. Kildare,10 Residential,Gigawatt Hours,378
2022,Metered Electricity Consumption,Co. Kildare,20 Non-residential,Gigawatt Hours,555
2022,Metered Electricity Consumption,Co. Kilkenny,All sectors,Gigawatt Hours,385
2022,Metered Electricity Consumption,Co. Kilkenny,10 Residential,Gigawatt Hours,166
2022,Metered Electricity Consumption,Co. Kilkenny,20 Non-residential,Gigawatt Hours,219
2022,Metered Electricity Consumption,Co. Kerry,All sectors,Gigawatt Hours,693
2023,Metered Electricity Consumption,Co. Kerry,10 Residential,Gigawatt Hours,300
2023,Metered Electricity Consumption,Co. Kerry,20 Non-residential,Gigawatt Hours,393
2023,Metered Electricity Consumption,Co. Longford,All sectors,Gigawatt Hours,219
2023,Metered Electricity Consumption,Co. Longford,10 Residential,Gigawatt Hours,77
2023,Metered Electricity Consumption,Co. Longford,20 Non-residential,Gigawatt Hours,142
2023,Metered Electricity Consumption,Co. Louth,All sectors,Gigawatt Hours,562
2023,Metered Electricity Consumption,Co. Louth,10 Residential,Gigawatt Hours,228
2023,Metered Electricity Consumption,Co. Louth,20 Non-residential,Gigawatt Hours,334
2023,Metered Electricity Consumption,Co. Limerick,All sectors,Gigawatt Hours,1066
2023,Metered Electricity Consumption,Co. Limerick,10 Residential,Gigawatt Hours,370
2023,Metered Electricity Consumption,Co. Limerick,20 Non-residential,Gigawatt Hours,697
2023,Metered Electricity Consumption,Co. Leitrim,All sectors,Gigawatt Hours,123
2023,Metered Electricity Consumption,Co. Leitrim,10 Residential,Gigawatt Hours,63
2023,Metered Electricity Consumption,Co. Leitrim,20 Non-residential,Gigawatt Hours,60
2023,Metered Electricity Consumption,Co. Laois,All sectors,Gigawatt Hours,297
2023,Metered Electricity Consumption,Co. Laois,10 Residential,Gigawatt Hours,134
2023,Metered Electricity Consumption,Co. Laois,20 Non-residential,Gigawatt Hours,163
2023,Metered Electricity Consumption,Co. Meath,All sectors,Gigawatt Hours,648
2023,Metered Electricity Consumption,Co. Meath,10 Residential,Gigawatt Hours,325
2023,Metered Electricity Consumption,Co. Meath,20 Non-residential,Gigawatt Hours,323
2023,Metered Electricity Consumption,Co. Monaghan,All sectors,Gigawatt Hours,344
2023,Metered Electricity Consumption,Co. Monaghan,10 Residential,Gigawatt Hours,115
2023,Metered Electricity Consumption,Co. Monaghan,20 Non-residential,Gigawatt Hours,229
2023,Metered Electricity Consumption,Co. Mayo,All sectors,Gigawatt Hours,586
2023,Metered Electricity Consumption,Co. Mayo,10 Residential,Gigawatt Hours,236
2023,Metered Electricity Consumption,Co. Mayo,20 Non-residential,Gigawatt Hours,350
2023,Metered Electricity Consumption,Co. Offaly,All sectors,Gigawatt Hours,293
2023,Metered Electricity Consumption,Co. Offaly,10 Residential,Gigawatt Hours,128
2023,Metered Electricity Consumption,Co. Offaly,20 Non-residential,Gigawatt Hours,164
2023,Metered Electricity Consumption,Co. Roscommon,All sectors,Gigawatt Hours,228
2023,Metered Electricity Consumption,Co. Roscommon,10 Residential,Gigawatt Hours,96
2023,Metered Electricity Consumption,Co. Roscommon,20 Non-residential,Gigawatt Hours,131
2023,Metered Electricity Consumption,Co. Sligo,All sectors,Gigawatt Hours,298
2023,Metered Electricity Consumption,Co. Sligo,10 Residential,Gigawatt Hours,119
2023,Metered Electricity Consumption,Co. Sligo,20 Non-residential,Gigawatt Hours,179
2023,Metered Electricity Consumption,Co. Tipperary,All sectors,Gigawatt Hours,802
2023,Metered Electricity Consumption,Co. Tipperary,10 Residential,Gigawatt Hours,325
2023,Metered Electricity Consumption,Co. Tipperary,20 Non-residential,Gigawatt Hours,477
2023,Metered Electricity Consumption,Co. Waterford,All sectors,Gigawatt Hours,685
2023,Metered Electricity Consumption,Co. Waterford,10 Residential,Gigawatt Hours,229
2023,Metered Electricity Consumption,Co. Waterford,20 Non-residential,Gigawatt Hours,455
2023,Metered Electricity Consumption,Co. Wicklow,All sectors,Gigawatt Hours,559
2023,Metered Electricity Consumption,Co. Wicklow,10 Residential,Gigawatt Hours,266
2023,Metered Electricity Consumption,Co. Wicklow,20 Non-residential,Gigawatt Hours,293
2023,Metered Electricity Consumption,Co. Westmeath,All sectors,Gigawatt Hours,477
2023,Metered Electricity Consumption,Co. Westmeath,10 Residential,Gigawatt Hours,179
2023,Metered Electricity Consumption,Co. Westmeath,20 Non-residential,Gigawatt Hours,298
2023,Metered Electricity Consumption,Co. Wexford,All sectors,Gigawatt Hours,641
2023,Metered Electricity Consumption,Co. Wexford,10 Residential,Gigawatt Hours,295
2023,Metered Electricity Consumption,Co. Wexford,20 Non-residential,Gigawatt Hours,346
2024,Metered Electricity Consumption,All Counties and Dublin Postal Districts,All sectors,Gigawatt Hours,26730
2024,Metered Electricity Consumption,All Counties and Dublin Postal Districts,10 Residential,Gigawatt Hours,8671
2024,Metered Electricity Consumption,All Counties and Dublin Postal Districts,20 Non-residential,Gigawatt Hours,18059
2024,Metered Electricity Consumption,Not coded,All sectors,Gigawatt Hours,4040
2024,Metered Electricity Consumption,Not coded,10 Residential,Gigawatt Hours,3
2024,Metered Electricity Consumption,Not coded,20 Non-residential,Gigawatt Hours,4037
2024,Metered Electricity Consumption,Co. Clare,All sectors,Gigawatt Hours,540
2024,Metered Electricity Consumption,Co. Clare,10 Residential,Gigawatt Hours,210
2024,Metered Electricity Consumption,Co. Clare,20 Non-residential,Gigawatt Hours,331
2024,Metered Electricity Consumption,Co. Cork,All sectors,Gigawatt Hours,2964
2024,Metered Electricity Consumption,Co. Cork,10 Residential,Gigawatt Hours,1047
2024,Metered Electricity Consumption,Co. Cork,20 Non-residential,Gigawatt Hours,1917
2024,Metered Electricity Consumption,Co. Cavan,All sectors,Gigawatt Hours,472
2024,Metered Electricity Consumption,Co. Cavan,10 Residential,Gigawatt Hours,143
2024,Metered Electricity Consumption,Co. Cavan,20 Non-residential,Gigawatt Hours,329
2024,Metered Electricity Consumption,Co. Carlow,All sectors,Gigawatt Hours,267
2024,Metered Electricity Consumption,Co. Carlow,10 Residential,Gigawatt Hours,113
2024,Metered Electricity Consumption,Co. Carlow,20 Non-residential,Gigawatt Hours,154
2024,Metered Electricity Consumption,Co. Donegal,All sectors,Gigawatt Hours,633
2024,Metered Electricity Consumption,Co. Donegal,10 Residential,Gigawatt Hours,280
2024,Metered Electricity Consumption,Co. Donegal,20 Non-residential,Gigawatt Hours,354
2024,Metered Electricity Consumption,Dublin 1,All sectors,Gigawatt Hours,378
2024,Metered Electricity Consumption,Dublin 1,10 Residential,Gigawatt Hours,63
2024,Metered Electricity Consumption,Dublin 1,20 Non-residential,Gigawatt Hours,315
2024,Metered Electricity Consumption,Dublin 2,All sectors,Gigawatt Hours,526
2024,Metered Electricity Consumption,Dublin 2,10 Residential,Gigawatt Hours,35
2024,Metered Electricity Consumption,Dublin 2,20 Non-residential,Gigawatt Hours,490
2024,Metered Electricity Consumption,Dublin 3,All sectors,Gigawatt Hours,157
2024,Metered Electricity Consumption,Dublin 3,10 Residential,Gigawatt Hours,68
2024,Metered Electricity Consumption,Dublin 3,20 Non-residential,Gigawatt Hours,90
2024,Metered Electricity Consumption,Dublin 4,All sectors,Gigawatt Hours,383
2024,Metered Electricity Consumption,Dublin 4,10 Residential,Gigawatt Hours,92
2024,Metered Electricity Consumption,Dublin 4,20 Non-residential,Gigawatt Hours,291
2024,Metered Electricity Consumption,Dublin 5,All sectors,Gigawatt Hours,139
2024,Metered Electricity Consumption,Dublin 5,10 Residential,Gigawatt Hours,75
2024,Metered Electricity Consumption,Dublin 5,20 Non-residential,Gigawatt Hours,64
2024,Metered Electricity Consumption,Dublin 6,All sectors,Gigawatt Hours,141
2024,Metered Electricity Consumption,Dublin 6,10 Residential,Gigawatt Hours,83
2024,Metered Electricity Consumption,Dublin 6,20 Non-residential,Gigawatt Hours,57
2024,Metered Electricity Consumption,Dublin 6W,All sectors,Gigawatt Hours,59
2024,Metered Electricity Consumption,Dublin 6W,10 Residential,Gigawatt Hours,42
2024,Metered Electricity Consumption,Dublin 6W,20 Non-residential,Gigawatt Hours,16
2024,Metered Electricity Consumption,Dublin 7,All sectors,Gigawatt Hours,228
2024,Metered Electricity Consumption,Dublin 7,10 Residential,Gigawatt Hours,96
2024,Metered Electricity Consumption,Dublin 7,20 Non-residential,Gigawatt Hours,132
2024,Metered Electricity Consumption,Dublin 8,All sectors,Gigawatt Hours,271
2024,Metered Electricity Consumption,Dublin 8,10 Residential,Gigawatt Hours,105
2024,Metered Electricity Consumption,Dublin 8,20 Non-residential,Gigawatt Hours,166
2024,Metered Electricity Consumption,Dublin 9,All sectors,Gigawatt Hours,194
2024,Metered Electricity Consumption,Dublin 9,10 Residential,Gigawatt Hours,86
,Metered Electricity Consumption,Dublin 9,20 Non-residential,Gigawatt Hours,108
,Metered Electricity Consumption,Dublin 10,All sectors,Gigawatt Hours,80
,Metered Electricity Consumption,Dublin 10,10 Residential,Gigawatt Hours,29
,Metered Electricity Consumption,Dublin 10,20 Non-residential,Gigawatt Hours,52
,Metered Electricity Consumption,Dublin 11,All sectors,Gigawatt Hours,212
,Metered Electricity Consumption,Dublin 11,10 Residential,Gigawatt Hours,89
,Metered Electricity Consumption,Dublin 11,20 Non-residential,Gigawatt Hours,123
,Metered Electricity Consumption,Dublin 12,All sectors,Gigawatt Hours,300
,Metered Electricity Consumption,Dublin 12,10 Residential,Gigawatt Hours,82
,Metered Electricity Consumption,Dublin 12,20 Non-residential,Gigawatt Hours,218
,Metered Electricity Consumption,Dublin 13,All sectors,Gigawatt Hours,129
,Metered Electricity Consumption,Dublin 13,10 Residential,Gigawatt Hours,83
,Metered Electricity Consumption,Dublin 13,20 Non-residential,Gigawatt Hours,46
,Metered Electricity Consumption,Dublin 14,All sectors,Gigawatt Hours,140
,Metered Electricity Consumption,Dublin 14,10 Residential,Gigawatt Hours,79
,Metered Electricity Consumption,Dublin 14,20 Non-residential,Gigawatt Hours,61
,Metered Electricity Consumption,Dublin 15,All sectors,Gigawatt Hours,561
,Metered Electricity Consumption,Dublin 15,10 Residential,Gigawatt Hours,163
,Metered Electricity Consumption,Dublin 15,20 Non-residential,Gigawatt Hours,398
,Metered Electricity Consumption,Dublin 16,All sectors,Gigawatt Hours,136
,Metered Electricity Consumption,Dublin 16,10 Residential,Gigawatt Hours,80
,Metered Electricity Consumption,Dublin 16,20 Non-residential,Gigawatt Hours,56
,Metered Electricity Consumption,Dublin 17,All sectors,Gigawatt Hours,156
,Metered Electricity Consumption,Dublin 17,10 Residential,Gigawatt Hours,33
,Metered Electricity Consumption,Dublin 17,20 Non-residential,Gigawatt Hours,124
,Metered Electricity Consumption,Dublin 18,All sectors,Gigawatt Hours,233
,Metered Electricity Consumption,Dublin 18,10 Residential,Gigawatt Hours,95
,Metered Electricity Consumption,Dublin 18,20 Non-residential,Gigawatt Hours,138
,Metered Electricity Consumption,Dublin 20,All sectors,Gigawatt Hours,34
,Metered Electricity Consumption,Dublin 20,10 Residential,Gigawatt Hours,21
,Metered Electricity Consumption,Dublin 20,20 Non-residential,Gigawatt Hours,14
,Metered Electricity Consumption,Dublin 22,All sectors,Gigawatt Hours,309
,Metered Electricity Consumption,Dublin 22,10 Residential,Gigawatt Hours,72
,Metered Electricity Consumption,Dublin 22,20 Non-residential,Gigawatt Hours,237
,Metered Electricity Consumption,Dublin 24,All sectors,Gigawatt Hours,539
,Metered Electricity Consumption,Dublin 24,10 Residential,Gigawatt Hours,156
,Metered Electricity Consumption,Dublin 24,20 Non-residential,Gigawatt Hours,383
,Metered Electricity Consumption,Co. Dublin,All sectors,Gigawatt Hours,1211
,Metered Electricity Consumption,Co. Dublin,10 Residential,Gigawatt Hours,501
,Metered Electricity Consumption,Co. Dublin,20 Non-residential,Gigawatt Hours,711
,Metered Electricity Consumption,Co. Galway,All sectors,Gigawatt Hours,1172
,Metered Electricity Consumption,Co. Galway,10 Residential,Gigawatt Hours,496
,Metered Electricity Consumption,Co. Galway,20 Non-residential,Gigawatt Hours,676
,Metered Electricity Consumption,Co. Kildare,All sectors,Gigawatt Hours,958
,Metered Electricity Consumption,Co. Kildare,10 Residential,Gigawatt Hours,390
,Metered Electricity Consumption,Co. Kildare,20 Non-residential,Gigawatt Hours,569
,Metered Electricity Consumption,Co. Kilkenny,All sectors,Gigawatt Hours,406
,Metered Electricity Consumption,Co. Kilkenny,10 Residential,Gigawatt Hours,172
,Metered Electricity Consumption,Co. Kilkenny,20 Non-residential,Gigawatt Hours,235
,Metered Electricity Consumption,Co. Kerry,All sectors,Gigawatt Hours,718
,Metered Electricity Consumption,Co. Kerry,10 Residential,Gigawatt Hours,311
,Metered Electricity Consumption,Co. Kerry,20 Non-residential,Gigawatt Hours,407
,Metered Electricity Consumption,Co. Longford,All sectors,Gigawatt Hours,227
,Metered Electricity Consumption,Co. Longford,10 Residential,Gigawatt Hours,80
,Metered Electricity Consumption,Co. Longford,20 Non-residential,Gigawatt Hours,147
,Metered Electricity Consumption,Co. Louth,All sectors,Gigawatt Hours,573
,Metered Electricity Consumption,Co. Louth,10 Residential,Gigawatt Hours,234
,Metered Electricity Consumption,Co. Louth,20 Non-residential,Gigawatt Hours,339
,Metered Electricity Consumption,Co. Limerick,All sectors,Gigawatt Hours,1098
,Metered Electricity Consumption,Co. Limerick,10 Residential,Gigawatt Hours,377
,Metered Electricity Consumption,Co. Limerick,20 Non-residential,Gigawatt Hours,721
,Metered Electricity Consumption,Co. Leitrim,All sectors,Gigawatt Hours,127
,Metered Electricity Consumption,Co. Leitrim,10 Residential,Gigawatt Hours,65
,Metered Electricity Consumption,Co. Leitrim,20 Non-residential,Gigawatt Hours,62
,Metered Electricity Consumption,Co. Laois,All sectors,Gigawatt Hours,308
,Metered Electricity Consumption,Co. Laois,10 Residential,Gigawatt Hours,140
,Metered Electricity Consumption,Co. Laois,20 Non-residential,Gigawatt Hours,168
,Metered Electricity Consumption,Co. Meath,All sectors,Gigawatt Hours,670
,Metered Electricity Consumption,Co. Meath,10 Residential,Gigawatt Hours,338
,Metered Electricity Consumption,Co. Meath,20 Non-residential,Gigawatt Hours,332
,Metered Electricity Consumption,Co. Monaghan,All sectors,Gigawatt Hours,353
,Metered Electricity Consumption,Co. Monaghan,10 Residential,Gigawatt Hours,118
,Metered Electricity Consumption,Co. Monaghan,20 Non-residential,Gigawatt Hours,235
,Metered Electricity Consumption,Co. Mayo,All sectors,Gigawatt Hours,609
,Metered Electricity Consumption,Co. Mayo,10 Residential,Gigawatt Hours,244
,Metered Electricity Consumption,Co. Mayo,20 Non-residential,Gigawatt Hours,365
,Metered Electricity Consumption,Co. Offaly,All sectors,Gigawatt Hours,306
,Metered Electricity Consumption,Co. Offaly,10 Residential,Gigawatt Hours,133
,Metered Electricity Consumption,Co. Offaly,20 Non-residential,Gigawatt Hours,173
,Metered Electricity Consumption,Co. Roscommon,All sectors,Gigawatt Hours,236
,Metered Electricity Consumption,Co. Roscommon,10 Residential,Gigawatt Hours,100
,Metered Electricity Consumption,Co. Roscommon,20 Non-residential,Gigawatt Hours,136
,Metered Electricity Consumption,Co. Sligo,All sectors,Gigawatt Hours,300
,Metered Electricity Consumption,Co. Sligo,10 Residential,Gigawatt Hours,121
,Metered Electricity Consumption,Co. Sligo,20 Non-residential,Gigawatt Hours,178
,Metered Electricity Consumption,Co. Tipperary,All sectors,Gigawatt Hours,820
,Metered Electricity Consumption,Co. Tipperary,10 Residential,Gigawatt Hours,336
,Metered Electricity Consumption,Co. Tipperary,20 Non-residential,Gigawatt Hours,484
,Metered Electricity Consumption,Co. Waterford,All sectors,Gigawatt Hours,705
,Metered Electricity Consumption,Co. Waterford,10 Residential,Gigawatt Hours,236
,Metered Electricity Consumption,Co. Waterford,20 Non-residential,Gigawatt Hours,469
,Metered Electricity Consumption,Co. Wicklow,All sectors,Gigawatt Hours,575
,Metered Electricity Consumption,Co. Wicklow,10 Residential,Gigawatt Hours,272
,Metered Electricity Consumption,Co. Wicklow,20 Non-residential,Gigawatt Hours,303
,Metered Electricity Consumption,Co. Westmeath,All sectors,Gigawatt Hours,478
,Metered Electricity Consumption,Co. Westmeath,10 Residential,Gigawatt Hours,186
,Metered Electricity Consumption,Co. Westmeath,20 Non-residential,Gigawatt Hours,292
,Metered Electricity Consumption,Co. Wexford,All sectors,Gigawatt Hours,658
,Metered Electricity Consumption,Co. Wexford,10 Residential,Gigawatt Hours,303
,Metered Electricity Consumption,Co. Wexford,20 Non-residential,Gigawatt Hours,355
,Metered Electricity Consumption,All Counties and Dublin Postal Districts,All sectors,Gigawatt Hours,26505
,Metered Electricity Consumption,All Counties and Dublin Postal Districts,10 Residential,Gigawatt Hours,8340
,Metered Electricity Consumption,All Counties and Dublin Postal Districts,20 Non-residential,Gigawatt Hours,18165
,Metered Electricity Consumption,Not coded,All sectors,Gigawatt Hours,4464
,Metered Electricity Consumption,Not coded,10 Residential,Gigawatt Hours,3
,Metered Electricity Consumption,Not coded,20 Non-residential,Gigawatt Hours,4461
,Metered Electricity Consumption,Co. Clare,All sectors,Gigawatt Hours,524
,Metered Electricity Consumption,Co. Clare,10 Residential,Gigawatt Hours,201
,Metered Electricity Consumption,Co. Clare,20 Non-residential,Gigawatt Hours,323
,Metered Electricity Consumption,Co. Cork,All sectors,Gigawatt Hours,2897
,Metered Electricity Consumption,Co. Cork,10 Residential,Gigawatt Hours,998
,Metered Electricity Consumption,Co. Cork,20 Non-residential,Gigawatt Hours,1899
,Metered Electricity Consumption,Co. Cavan,All sectors,Gigawatt Hours,470
,Metered Electricity Consumption,Co. Cavan,10 Residential,Gigawatt Hours,137
,Metered Electricity Consumption,Co. Cavan,20 Non-residential,Gigawatt Hours,333
,Metered Electricity Consumption,Co. Carlow,All sectors,Gigawatt Hours,264
,Metered Electricity Consumption,Co. Carlow,10 Residential,Gigawatt Hours,111
,Metered Electricity Consumption,Co. Carlow,20 Non-residential,Gigawatt Hours,153
,Metered Electricity Consumption,Co. Donegal,All sectors,Gigawatt Hours,623
,Metered Electricity Consumption,Co. Donegal,10 Residential,Gigawatt Hours,271
,Metered Electricity Consumption,Co. Donegal,20 Non-residential,Gigawatt Hours,352
,Metered Electricity Consumption,Dublin 1,All sectors,Gigawatt Hours,366
,Metered Electricity Consumption,Dublin 1,10 Residential,Gigawatt Hours,60
,Metered Electricity Consumption,Dublin 1,20 Non-residential,Gigawatt Hours,306
,Metered Electricity Consumption,Dublin 2,All sectors,Gigawatt Hours,517
,Metered Electricity Consumption,Dublin 2,10 Residential,Gigawatt Hours,32
,Metered Electricity Consumption,Dublin 2,20 Non-residential,Gigawatt Hours,485
,Metered Electricity Consumption,Dublin 3,All sectors,Gigawatt Hours,153
,Metered Electricity Consumption,Dublin 3,10 Residential,Gigawatt Hours,66
,Metered Electricity Consumption,Dublin 3,20 Non-residential,Gigawatt Hours,88
,Metered Electricity Consumption,Dublin 4,All sectors,Gigawatt Hours,362
,Metered Electricity Consumption,Dublin 4,10 Residential,Gigawatt Hours,85
,Metered Electricity Consumption,Dublin 4,20 Non-residential,Gigawatt Hours,277
,Metered Electricity Consumption,Dublin 5,All sectors,Gigawatt Hours,133
,Metered Electricity Consumption,Dublin 5,10 Residential,Gigawatt Hours,72
,Metered Electricity Consumption,Dublin 5,20 Non-residential,Gigawatt Hours,61
,Metered Electricity Consumption,Dublin 6,All sectors,Gigawatt Hours,131
,Metered Electricity Consumption,Dublin 6,10 Residential,Gigawatt Hours,76
,Metered Electricity Consumption,Dublin 6,20 Non-residential,Gigawatt Hours,55
,Metered Electricity Consumption,Dublin 6W,All sectors,Gigawatt Hours,54
,Metered Electricity Consumption,Dublin 6W,10 Residential,Gigawatt Hours,39
,Metered Electricity Consumption,Dublin 6W,20 Non-residential,Gigawatt Hours,16
,Metered Electricity Consumption,Dublin 7,All sectors,Gigawatt Hours,223
,Metered Electricity Consumption,Dublin 7,10 Residential,Gigawatt Hours,93
,Metered Electricity Consumption,Dublin 7,20 Non-residential,Gigawatt Hours,131
,Metered Electricity Consumption,Dublin 8,All sectors,Gigawatt Hours,263
,Metered Electricity Consumption,Dublin 8,10 Residential,Gigawatt Hours,97
,Metered Electricity Consumption,Dublin 8,20 Non-residential,Gigawatt Hours,165
,Metered Electricity Consumption,Dublin 9,All sectors,Gigawatt Hours,189
,Metered Electricity Consumption,Dublin 9,10 Residential,Gigawatt Hours,83
,Metered Electricity Consumption,Dublin 9,20 Non-residential,Gigawatt Hours,106
,Metered Electricity Consumption,Dublin 10,All sectors,Gigawatt Hours,80
,Metered Electricity Consumption,Dublin 10,10 Residential,Gigawatt Hours,27
,Metered Electricity Consumption,Dublin 10,20 Non-residential,Gigawatt Hours,52
,Metered Electricity Consumption,Dublin 11,All sectors,Gigawatt Hours,208
,Metered Electricity Consumption,Dublin 11,10 Residential,Gigawatt Hours,85
,Metered Electricity Consumption,Dublin 11,20 Non-residential,Gigawatt Hours,123
,Metered Electricity Consumption,Dublin 12,All sectors,Gigawatt Hours,291
,Metered Electricity Consumption,Dublin 12,10 Residential,Gigawatt Hours,74
,Metered Electricity Consumption,Dublin 12,20 Non-residential,Gigawatt Hours,216
,Metered Electricity Consumption,Dublin 13,All sectors,Gigawatt Hours,128
,Metered Electricity Consumption,Dublin 13,10 Residential,Gigawatt Hours,82
,Metered Electricity Consumption,Dublin 13,20 Non-residential,Gigawatt Hours,46
,Metered Electricity Consumption,Dublin 14,All sectors,Gigawatt Hours,131
,Metered Electricity Consumption,Dublin 14,10 Residential,Gigawatt Hours,73
,Metered Electricity Consumption,Dublin 14,20 Non-residential,Gigawatt Hours,58
,Metered Electricity Consumption,Dublin 15,All sectors,Gigawatt Hours,560
,Metered Electricity Consumption,Dublin 15,10 Residential,Gigawatt Hours,159
,Metered Electricity Consumption,Dublin 15,20 Non-residential,Gigawatt Hours,401
,Metered Electricity Consumption,Dublin 16,All sectors,Gigawatt Hours,130
,Metered Electricity Consumption,Dublin 16,10 Residential,Gigawatt Hours,77
,Metered Electricity Consumption,Dublin 16,20 Non-residential,Gigawatt Hours,53
,Metered Electricity Consumption,Dublin 17,All sectors,Gigawatt Hours,145
,Metered Electricity Consumption,Dublin 17,10 Residential,Gigawatt Hours,28
,Metered Electricity Consumption,Dublin 17,20 Non-residential,Gigawatt Hours,117
,Metered Electricity Consumption,Dublin 18,All sectors,Gigawatt Hours,229
,Metered Electricity Consumption,Dublin 18,10 Residential,Gigawatt Hours,93
,Metered Electricity Consumption,Dublin 18,20 Non-residential,Gigawatt Hours,136
,Metered Electricity Consumption,Dublin 20,All sectors,Gigawatt Hours,33
,Metered Electricity Consumption,Dublin 20,10 Residential,Gigawatt Hours,19
,Metered Electricity Consumption,Dublin 20,20 Non-residential,Gigawatt Hours,14
,Metered Electricity Consumption,Dublin 22,All sectors,Gigawatt Hours,339
,Metered Electricity Consumption,Dublin 22,10 Residential,Gigawatt Hours,70
,Metered Electricity Consumption,Dublin 22,20 Non-residential,Gigawatt Hours,269
,Metered Electricity Consumption,Dublin 24,All sectors,Gigawatt Hours,447
,Metered Electricity Consumption,Dublin 24,10 Residential,Gigawatt Hours,150
,Metered Electricity Consumption,Dublin 24,20 Non-residential,Gigawatt Hours,297
